CATEGORY_INCIDENT,BYLINE,byLine,PROVIDER_SUBJECT,IMAGES_CAPTION,EXTENSION,CATEGORY_NAMES,CATEGORY_INCIDENT_NAMES,PROVIDER_NEWS_ID,KPF_GABAGE_NEWS_IS,printingPage,DATE,PRINTING_PAGE,NEWS_ID,SUB_TITLE,IMAGES,KPF_ABUSING_NEWS,KPF_ABUSING_NEWS_IS,CATEGORY,PROVIDER_LINK_PAGE,PROVIDER,TITLE,PROVIDER_CODE,CONTENT
1 8 30,임병선,임병선,"국제
국제
미국·중남미","베이지색 미결수 죄수복에 다리 교정기를 차고 나온 샘 뱅크먼프리드
법정 스케치 로이터 연합뉴스",jpg,사회>사건_사고<font color=Gray> | </font>국제>아시아<font color=Gray> | </font>국제>유럽_EU,범죄>범죄일반>사기,01100611.20230823500218,FALSE,,20230823,,01100611.20230823164825001,,https://www.bigkinds.or.kr/resources/images/01100611/2023/08/23/01100611.20230823164825001.01,,FALSE,"003000000 003006000
005000000 005006000
005000000 005008000",http://www.seoul.co.kr/news/newsView.php?id=20230823500218,서울신문,‘암호화폐의 왕’이었는데 채식주의자 뱅크먼프리드 “빵과 물로 연명”,01100611,가상화폐 사기 등 혐의로 수감 중인 코인거래소 FTX 창업자 샘 뱅크먼프리드(31)가 구치소에서 빵과 물로만 버티고 있다고 그의 변호사가 딱한 사정을 알렸다.<br/>22일(현지시간) 영국 BBC 방송에 따르면 그의 변호사는 뉴욕 맨해튼 연방법원 심리에서 구치소가 채식을 제공하지 않아 의뢰인이 “글자 그대로 빵과 물로 연명하고 있다”고 호소했다. 또한 주의력 ..
,이덕연 기자,이덕연 기자,"산업
중기·벤처
벤처·스타트업",,png,IT_과학>콘텐츠,,29TIPZZ84P,FALSE,0,20230823,0,02100311.20230823145551001,미국 1위 암호화폐 거래소 코인베이스와 협업,https://www.bigkinds.or.kr/resources/images/02100311/2023/08/23/02100311.20230823145551001.01,,FALSE,008000000 008004000,http://www.sedaily.com/NewsView/29TIPZZ84P,서울경제,"이스크라, 글로벌 유저 대상 '클래시몬' 게임 NFT 무료 배포",02100311,웹3 블록체인 게임 플랫폼 ‘이스크라’가 이달 28일부터 글로벌 유저를 대상으로 ‘클래시몬’ 게임 NFT 프리민팅(무료 배포)을 실시한다고 23일 밝혔다. <br/> <br/><br/> 이번 무료 배포 행사는 미국 1위 암호화폐 거래소 코인베이스와의 협업을 통해 약 1주일 동안 진행된다. 이용자들은 클래시몬 게임 내에서 미스터리 박스를 개봉하고 캐릭터 NTF와 각종 장구류와..
1 6 22,김인엽,김인엽,,자오창펑 바이낸스 CEO가 지난해 6월 프랑스 파리에서 열린 비바 테크놀로지 콘퍼런스에서 연설하고 있다. /로이터,jpg,경제>외환<font color=Gray> | </font>국제>러시아<font color=Gray> | </font>국제>미국_북미,범죄>기업범죄>내부자거래,202308232256i,FALSE,,20230823,,02100601.20230823115029001,,https://www.bigkinds.or.kr/resources/images/02100601/2023/08/23/02100601.20230823115029001.01,02100601.20230823180319001,TRUE,"002000000 002002000
005000000 005005000
005000000 005003000",https://www.hankyung.com/international/article/202308232256i,한국경제,"""바이낸스, 루블화→암호화폐 세탁 방치했다"" 美 수사 착수",02100601,세게 최대 암호화폐 거래소인 바이낸스가 대러시아 금융 제재 위반 혐의로 미국 정부의 수사선상에 올랐다. <br/> <br/> 월스트리트저널(WSJ)은 22일(현지시간) 내부 소식통을 인용해 미 법무부가 대러시아 제재 위반 가능성과 관련해 바이낸스를 수사하고 있다고 전했다. 법무부는 서방 제재로 국제 송금 및 환전이 금지된 러시아 루블화를 자금세탁하는 통로로 바이낸스가..
,조해동,조해동,408,,jpg,경제>외환<font color=Gray> | </font>국제>중국<font color=Gray> | </font>국제>일본,,01100501.2023082301039905015001,FALSE,0,20230823,0,01100501.20230823110305001,,https://www.bigkinds.or.kr/resources/images/01100501/2023/08/23/01100501.20230823110305001.01,,FALSE,"002000000 002002000
005000000 005002000
005000000 005001000",http://www.munhwa.com/news/view.html?no=2023082301039905015001,문화일보,"글로벌 통화 전쟁의 과거와 현재, 그리고 미래를 조망하다!",01100501,"이철환의 신간, ‘달러의 시대는 저무는가? 달러 위안 유로 엔 파운드화, 금 암호화폐의 미래’(다락방, 2023)에 쏠리는 시선<br/><br/><br/><br/>국제금융시장이 요동치고 있다. 2차 세계대전 이후 형성된 미 달러화의 강력한 패권(헤게모니)이 서서히 약화하고, 세계 2위의 경제 대국으로 올라선 중국 위안화의 힘이 강해지는가 싶더니 최근에는 미·중 갈등 속에 중국 위안.."
,조미현,조미현,,"
",jpg,경제>증권_증시<font color=Gray> | </font>경제>부동산,,202308231810i,FALSE,,20230823,,02100601.20230823095305001,,https://www.bigkinds.or.kr/resources/images/02100601/2023/08/23/02100601.20230823095305001.01,,FALSE,"002000000 002006000
002000000 002010000",https://www.hankyung.com/economy/article/202308231810i,한국경제,"""이더리움 선물 ETF 美 승인 '청신호' 켜졌다"" [한경 코알라]",02100601,"코인, 알고 투자하라! <br/>한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. <br/>매주 수요일 아침 발행하는 코알라를 받아보세요! <br/>무료 구독신청 hankyung.com/newsletter <br/> <br/>미국 증권거래위원회(SEC)가 비트코인(BTC) 현물 상장지수펀드(ETF)보다 이더리움(ETH) 선물 ETF를 먼저 승인할 것이란 전망이 제기됐다..."
1 8 30,남미래|기자|,남미래|기자|,O0101,"

팀블랙버드 직원들/사진제공=팀블랙버드",jpg,IT_과학>보안<font color=Gray> | </font>IT_과학>모바일<font color=Gray> | </font>경제>반도체,범죄>범죄일반>사기,2023081417015674137,FALSE,,20230823,,02100201.20230823093023001,,https://www.bigkinds.or.kr/resources/images/02100201/2023/08/23/02100201.20230823093023001.01,,FALSE,"008000000 008002000
008000000 008003000
002000000 002009000",http://news.moneytoday.co.kr/view/mtview.php?no=2023081417015674137&type=2,머니투데이,"""매일 1조 들락, 이상해"" FTX사태 예견…K-스타트업 찾아온 시카고 거래소",02100201,"[머니투데이 남미래 기자] [스타트UP스토리] 주기영 팀블랙버드 대표<br/><br/>[이 기사에 나온 스타트업에 대한 보다 다양한 기업정보는 유니콘팩토리 빅데이터 플랫폼 '데이터랩'에서 볼 수 있습니다.] <br/><br/> ""크립토퀀트는 암호화폐 시장의 블룸버그입니다.""<br/><br/>주기영 팀블랙버드 대표는 자사가 운영하는 블록체인 데이터 분석 서비스 '크립토퀀트'에 대해 이같이 말했다..."
,유규상,유규상,"사설·오피니언
오피니언
오늘의 눈",유규상 경제부 기자,jpg,미분류,,01100611.20230823005002,FALSE,5,20230823,5,01100611.20230823180243001,,https://www.bigkinds.or.kr/resources/images/01100611/2023/08/23/01100611.20230823180243001.01,,FALSE,999999999,http://www.seoul.co.kr/news/newsView.php?id=20230823005002,서울신문,[오늘의 눈] 기득권에 대한 불신 더 커진 청년층/유규상 경제부 기자,01100611,"소시에테제네랄(SG)증권발 주가 폭락 사태, 김남국 의원의 가상자산(암호화폐) 보유 논란 이후 정부와 국회는 각종 대책을 쏟아내고 있지만 시장에 대한 청년층의 신뢰를 회복하기에는 한마디로 역부족이다.<br/>먼저 SG증권발 주가 폭락 사태 이후 금융당국은 불공정거래 차단 등을 내세우며 적극적으로 조치했다. 그러나 주식시장에는 소셜미디어(SNS)의 익명성과 규제.."
,"배근미
배근미·강일용","배근미
배근미·강일용","아주경제
금융
암호화폐",[사진=아주경제DB],jpg,IT_과학>보안<font color=Gray> | </font>IT_과학>콘텐츠<font color=Gray> | </font>IT_과학>모바일,,20230821063848365,FALSE,,20230821,,02100851.20230821065636001,,https://www.bigkinds.or.kr/resources/images/02100851/2023/08/21/02100851.20230821065636001.01,,FALSE,"008000000 008002000
008000000 008004000
008000000 008003000",https://www.ajunews.com/view/20230821063848365,아주경제,"[아주경제 코이너스 브리핑] '주말 폭락' 비트코인, 2만6171달러대···소폭 반등세",02100851,"[사진=아주경제DB] <br/>◆ '주말 폭락' 비트코인, 2만6171달러대 거래···소폭 반등 <br/> <br/>지난 주말 2만9000달러대에서 2만6000달러 수준까지 급락한 비트코인이 소폭 반등하고 있다. <br/> <br/>21일 글로벌 가상자산 중계 사이트 코인마켓캡에 따르면 비트코인은 이날 오전 6시 50분 기준 전일 대비 0.35% 오른 2만6171달러 안팎에서 거래되고 있.."
,정영교.박현주(chung.yeonggyo@joongang.co.kr),정영교.박현주(chung.yeonggyo@joongang.co.kr),,,,정치>북한<font color=Gray> | </font>정치>외교<font color=Gray> | </font>IT_과학>보안,,25186035,FALSE,A4,20230821,A4,01100901.20230821000829001,,,,FALSE,"001000000 001001000
001000000 001003000
008000000 008002000",https://www.joongang.co.kr/article/25186035,중앙일보,"북 인권·사이버 돈줄 조준…한미일, 김정은 아픈곳 찌른다",01100901,"한국·미국·일본이 함께 ‘사이버 범죄 차단’ 카드를 꺼내 김정은 북한 국무위원장의 제일 아픈 곳을 정확히 찔렀다. 윤석열 대통령과 조 바이든 미국 대통령, 기시다 후미오 일본 총리는 18일(현지시간) 발표한 ‘캠프 데이비드 정신’에서 “불법적인 대량살상무기(WMD) 및 탄도미사일 프로그램의 자금원으로 사용되는 북한의 불법 사이버 활동에 대해 우려를 표명.."
1 8 30,김성휘|기자|,김성휘|기자|,T0201,"손정의 소프트뱅크 회장
(워싱턴 로이터=뉴스1) 김성식 기자 = 챗GPT를 개발한 샘 알트먼 오픈AI 최고경영자(CEO)가 16일(현지시간) 미국 상원 법사위원회 청문회에 참석해 발언하고 있다. 2023.05.16.ⓒ 로이터=뉴스1 Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포 금지.

(서울=뉴스1) 이승배 기자 = 창펑자오 바이낸스 CEO가 2019년 4월4일 오전 서울 중구 장충체육관에서 열린 '제2회 분산경제포럼(디코노미2019)'에 참석해 발표하고 있다. 2019.4.4/뉴스1",jpg,경제>산업_기업<font color=Gray> | </font>경제>증권_증시<font color=Gray> | </font>경제>자동차,범죄>범죄일반>사기,2023081820192759473,FALSE,,20230819,,02100201.20230819130038002,,https://www.bigkinds.or.kr/resources/images/02100201/2023/08/19/02100201.20230819130038002.01,,FALSE,"002000000 002005000
002000000 002006000
002000000 002011000",http://news.moneytoday.co.kr/view/mtview.php?no=2023081820192759473&type=2,머니투데이,"손정의, 사기 당했나...스타트업 투자실패 후 소송 ""1.5억불 내놔""",02100201,"[머니투데이 김성휘 기자] [글로벌 스타트업씬] 8월 3주차 핫뉴스<br/><br/>[편집자주] '글로벌 스타트업씬'은 한주간 발생한 주요 글로벌 벤처캐피탈(VC) 및 스타트업 소식을 전달하는 코너입니다. 이에 더해 국내 스타트업 시장에 미칠 영향과 전망까지 짚어드립니다.<br/><br/> <br/>손정의(손 마사요시) 일본 소프트뱅크 회장이 소셜앱 스타트업 투자에 실패, 투자금 반환 소.."
,유혜림 기자,유혜림 기자,033,"[로이터]

",jpg,경제>증권_증시<font color=Gray> | </font>경제>산업_기업,,20230819000048,FALSE,50,20230819,50,02100701.20230819073032001,,https://www.bigkinds.or.kr/resources/images/02100701/2023/08/19/02100701.20230819073032001.01,,FALSE,"002000000 002006000
002000000 002005000",http://biz.heraldcorp.com/view.php?ud=20230819000048,헤럴드경제,흔들리는 비트코인…그럼에도 글로벌 운용사들이 현물 ETF에 집착하는 이유는? [유혜림의 株마카세],02100701,[헤럴드경제=유혜림 기자] 가상화폐 대장주 비트코인이 잇단 악재의 직격탄을 맞으며 큰 폭의 약세를 나타내고 있습니다. 지난 16일까지만 해도 2만9000달러대에서 거래되던 비트코인은 이제 2만5000달러대까지 내리기도 했습니다. 지난 6월 15일 세계 최대 자산운용사 블랙록이 현물 비트코인 상장지수펀드 ETF 상장을 신청했다는 소식으로 올랐던 상승분을 ..
,송경재 기자 (dympna@fnnews.com),송경재 기자 (dympna@fnnews.com),국제경제,소셜미디어 X(옛 트위터) 소유주인 일론 머스크 테슬라 최고경영자(CEO)가 18일(현지시간) 포스트를 통해 X에서 차단 기능을 없애겠다고 밝혔다. 지난달 30일 미국 샌프란시스코 도심 X 본사 건너편 아파트 유리창에 X 본사 옥상에 설치된 대형 로고 불빛이 반사되고 있다. 로이터연합,jpg,IT_과학>보안<font color=Gray> | </font>국제>유럽_EU<font color=Gray> | </font>국제>미국_북미,,202308190704220381,FALSE,,20230819,,02100501.20230819071258001,,https://www.bigkinds.or.kr/resources/images/02100501/2023/08/19/02100501.20230819071258001.01,,FALSE,"008000000 008002000
005000000 005008000
005000000 005003000",http://www.fnnews.com/news/202308190704220381,파이낸셜뉴스,"머스크 ""X에서 차단 기능 없앤다""",02100501,[파이낸셜뉴스] <br/> 소셜미디어 X(옛 트위터) 소유주인 일론 머스크 테슬라 최고경영자(CEO)가 18일(현지시간) 포스트를 통해 X에서 차단 기능을 없애겠다고 밝혔다. 지난달 30일 미국 샌프란시스코 도심 X 본사 건너편 아파트 유리창에 X 본사 옥상에 설치된 대형 로고 불빛이 반사되고 있다. 로이터연합 <br/> <br/>미국 소셜미디어 X(옛 트위터) 소유주인 일..
"2 9 34
3 11 45",정윤희 기자,정윤희 기자,016,"조 바이든 미국 대통령이 18일(현지시간) 워싱턴DC 인근 미국 대통령 별장인 캠프 데이비드에서 열린 한미일 정상 공동기자회견에서 발언하고 있다. [연합]
윤석열 대통령과 조 바이든 미국 대통령, 기시다 후미오 일본 총리가 18일(현지시간) 워싱턴DC 인근 미국 대통령 별장인 캠프 데이비드에서 열린 오찬에서 기념촬영을 하고 있다. [연합]
윤석열 대통령이 18일(현지시간) 워싱턴DC 인근 미국 대통령 별장인 캠프 데이비드에서 열린 한미일 정상 공동기자회견에서 발언하고 있다. 왼쪽부터 윤 대통령, 바이든 미 대통령, 기시다 후미오 일본 총리. [연합]
조 바이든 미국 대통령이 18일(현지시간) 워싱턴DC 인근 미국 대통령 별장인 캠프 데이비드에서 열린 한미일 정상 공동기자회견에서 발언하고 있다. [연합]",jpg,정치>외교<font color=Gray> | </font>정치>청와대<font color=Gray> | </font>정치>북한,사고>산업사고>화재<font color=Gray> | </font>재해>자연재해>태풍,20230819000040,FALSE,50,20230819,50,02100701.20230819055255001,,https://www.bigkinds.or.kr/resources/images/02100701/2023/08/19/02100701.20230819055255001.01,,FALSE,"001000000 001003000
001000000 001006000
001000000 001001000",http://biz.heraldcorp.com/view.php?ud=20230819000040,헤럴드경제,"[전문] 바이든 “한일, 美의 핵심동맹…3국 단합 흔들리지 않을 것”",02100701,[헤럴드경제(메릴랜드주 캠프 데이비드)=정윤희 기자] 조 바이든 미국 대통령은 18일(현지시간) “한미일 동반자 관계에 새로운 장이 열리고 있다”며 “한국과 일본은 미국의 핵심 동맹”이라고 밝혔다. <br/> <br/> 바이든 대통령은 이날 워싱턴DC 인근 메릴랜드주 캠프 데이비드에서 열린 한미일 정상회의 후 공동기자회견 모두발언에서 이같이 말했다. <br/> <br/> 그러면서 ..
3 11 43,뉴욕=박준식|특파원|,뉴욕=박준식|특파원|,W0501,"(AFP=뉴스1) 오대일 기자 = 윤석열 대통령과 조 바이든 미국 대통령, 기시다 후미오 일본 총리가 18일(현지시간) 미국 워싱턴DC 인근 대통령 별장인 캠프 데이비드에서 한미일 정상회의를 하고 있다. 2023.8.18 ⓒ AFP=뉴스1 Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포 금지.",jpg,정치>외교<font color=Gray> | </font>정치>청와대<font color=Gray> | </font>정치>북한,재해>자연재해>홍수,2023081904450638881,FALSE,,20230819,,02100201.20230819044939001,,https://www.bigkinds.or.kr/resources/images/02100201/2023/08/19/02100201.20230819044939001.01,,FALSE,"001000000 001003000
001000000 001006000
001000000 001001000",http://news.moneytoday.co.kr/view/mtview.php?no=2023081904450638881&type=2,머니투데이,"바이든 美 대통령 ""대만-北 문제, 공급망, 과학연구소 공동협력""",02100201,"[머니투데이 뉴욕=박준식 특파원] (상보) 한미일 3국 핫라인 만들어 인도태평양 문제에 공동대처<br/><br/> 조 바이든 미국 대통령은 ""한미일 3국 정상이 핫라인을 만들어 군사도발과 경제적 공급망 위협, 건강보건 분야 과학기술 연구에 대처하기로 했다""고 밝혔다. <br/><br/>바이든 대통령은 18일(현지시간) 메릴랜드주 캠프 데이비드에서 열린 한미일 정상회의 이후 기자회견.."
