,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': 'Biztoc.com'}",cryptodaily.co.uk,Coinbase holds as much Bitcoin as Satoshi Nakamoto,"Arkham, the blockchain analysis platform, has suggested that Coinbase is sitting on a similar amount of Bitcoin to its mysterious creator Satoshi Nakamoto, which amounts to around 5% of all Bitcoin. Coinbase in fantastic position Over the years Coinbase, ably…",https://biztoc.com/x/c8552c48190e878c,https://c.biztoc.com/p/c8552c48190e878c/s.webp,2023-09-25T11:02:17Z,"Arkham, the blockchain analysis platform, has suggested that Coinbase is sitting on a similar amount of Bitcoin to its mysterious creator Satoshi Nakamoto, which amounts to around 5% of all Bitcoin.C… [+296 chars]"
11,"{'id': None, 'name': 'CryptoSlate'}",James Van Straten,"Bitcoin mining takes the lead in sustainable energy use, outshining banking sector","Quick Take Bitcoin mining is the most sustainably-powered industry globally, outperforming all other sectors, per Daniel Batten’s analysis. The analysis indicates that over half of the energy resources consumed in Bitcoin mining are from sustainable sources, …",https://cryptoslate.com/insights/bitcoin-mining-takes-the-lead-in-sustainable-energy-use-outshining-banking-sector/,https://cryptoslate.com/wp-content/uploads/2023/09/insights-bitcoin-mining-sustainability.jpg,2023-09-25T11:00:16Z,"Quick Take
Bitcoin mining is the most sustainably-powered industry globally, outperforming all other sectors, per Daniel Batten’s analysis. The analysis indicates that over half of the energy resour… [+1478 chars]"
12,"{'id': None, 'name': 'Biztoc.com'}",watcher.guru,Bitcoin Key Economic Events May Bring Fresh Volatility This Week,"Bitcoin has once again fallen below $27k, currently down by 1.7% in the last 24 hours. The latest dip could be attributed to key financial events due later this week. On Tuesday, we will have the consumer confidence data and the new home sales data. On Thursd…",https://biztoc.com/x/5c39e6ff1554a25e,https://c.biztoc.com/p/5c39e6ff1554a25e/s.webp,2023-09-25T10:58:14Z,"Bitcoin has once again fallen below $27k, currently down by 1.7% in the last 24 hours. The latest dip could be attributed to key financial events due later this week. On Tuesday, we will have the con… [+252 chars]"
13,"{'id': None, 'name': 'Biztoc.com'}",coinspeaker.com,Arkham Report: Coinbase Now Holds 5% of All Bitcoin in Existence,"Coinspeaker Arkham Report: Coinbase Now Holds 5% of All Bitcoin in Existence Blockchain analysis and intelligence platform Arkham Intelligence has announced that major crypto exchange Coinbase holds $25 billion worth of Bitcoin in its reserves, which amounts …",https://biztoc.com/x/dd144318837abda8,https://c.biztoc.com/p/dd144318837abda8/s.webp,2023-09-25T10:58:09Z,CoinspeakerArkham Report: Coinbase Now Holds 5% of All Bitcoin in ExistenceBlockchain analysis and intelligence platform Arkham Intelligence has announced that major crypto exchange Coinbase holds $2… [+311 chars]
14,"{'id': None, 'name': 'Biztoc.com'}",thecryptobasic.com,Satoshi Nakamoto’s Praise for Ripple Surfaces Amid Bitcoin Maxi’s XRP Criticism,"The XRP community recently spotlighted Bitcoin creator Satoshi Nakamoto’s commendation of Ripple in 2009 amid sustained XRP criticisms from Max Keiser. While the renowned Bitcoin maximalist Max Keiser continues to deride XRP, proponents of the digital asset h…",https://biztoc.com/x/b807041d57d82e18,https://c.biztoc.com/p/b807041d57d82e18/s.webp,2023-09-25T10:52:07Z,The XRP community recently spotlighted Bitcoin creator Satoshi Nakamotos commendation of Ripple in 2009 amid sustained XRP criticisms from Max Keiser.While the renowned Bitcoin maximalist Max Keiser … [+285 chars]
15,"{'id': None, 'name': 'Finbold.com'}",Ana Nicenko,Stock market to crash? Bankruptcy filings soar to ‘dangerous levels’,"Amid continuous warnings from finance experts and prominent investors alike on the bleak state of the economy in the United … Continued
The post Stock market to crash? Bankruptcy filings soar to ‘dangerous levels’ appeared first on Finbold.",https://finbold.com/stock-market-to-crash-bankruptcy-filings-soar-to-dangerous-levels/,https://finbold.com/app/uploads/2023/09/Stock-market-to-crash-Bankruptcy-filings-soar-to-dangerous-levels.jpg,2023-09-25T10:48:31Z,"Amid continuous warnings from finance experts and prominent investors alike on the bleak state of the economy in the United States, along with predictions of its even bleaker future, recent data has … [+1942 chars]"
16,"{'id': None, 'name': 'Biztoc.com'}",cryptopotato.com,"Precarious Times for Bitcoin: Liquidity Dwindles, Threatening Price Stability","Bitcoin’s trading volume has taken a significant hit this year, and the recent market activity has been characterized by low volatility and narrow price ranges, limiting trading opportunities. Despite rising above $27.5k briefly earlier this week, the flagshi…",https://biztoc.com/x/88e4699a191aa73b,https://c.biztoc.com/p/88e4699a191aa73b/s.webp,2023-09-25T10:48:09Z,"Bitcoins trading volume has taken a significant hit this year, and the recent market activity has been characterized by low volatility and narrow price ranges, limiting trading opportunities.Despite … [+257 chars]"
17,"{'id': None, 'name': 'Crypto Daily'}",Laurie Dunn,Coinbase holds as much Bitcoin as Satoshi Nakamoto,"Arkham, the blockchain analysis platform, has suggested that Coinbase is sitting on a similar amount of Bitcoin to its mysterious creator Satoshi Nakamoto, which amounts to around 5% of all Bitcoin.",https://cryptodaily.co.uk/2023/09/coinbase-holds-as-much-bitcoin-as-satoshi-nakamoto,https://cryptodaily.blob.core.windows.net/space/arkham%20bitcoin%20coinbase%201.jpeg,2023-09-25T10:40:27Z,"Table of Content
Arkham, the blockchain analysis platform, has suggested that Coinbase is sitting on a similar amount of Bitcoin to its mysterious creator Satoshi Nakamoto, which amounts to around 5… [+2103 chars]"
18,"{'id': None, 'name': 'Biztoc.com'}",bitcoinist.com,Bitcoin Moves Toward Mainstream Legitimacy Following Shanghai Court Ruling,"Tron’s founder, Justin Sun, has pointed out a recent article by the Shanghai Second Intermediate People’s Court, which seems to legitimize the flagship digital currency, Bitcoin, despite China’s anti-crypto stance. What The Chinese Court Has To Say In a tweet…",https://biztoc.com/x/3bf2b9c3b0a25054,https://c.biztoc.com/p/3bf2b9c3b0a25054/s.webp,2023-09-25T10:40:08Z,"Trons founder, Justin Sun, has pointed out a recent article by the Shanghai Second Intermediate Peoples Court, which seems to legitimize the flagship digital currency, Bitcoin, despite Chinas anti-cr… [+291 chars]"
19,"{'id': None, 'name': 'Biztoc.com'}",forkast.news,"Bitcoin, Ether fall with Toncoin leading losses in top 10 cryptos","Bitcoin continued to fall in Monday afternoon trade in Asia, along with Ether and all other top 10 non-stablecoin cryptos, except Tron. Toncoin was the biggest loser. Global cryptocurrency markets weakened after the U.S. Federal Reserve at its September meeti…",https://biztoc.com/x/a6e683ee292e50cb,https://c.biztoc.com/p/a6e683ee292e50cb/s.webp,2023-09-25T10:36:09Z,"Bitcoin continued to fall in Monday afternoon trade in Asia, along with Ether and all other top 10 non-stablecoin cryptos, except Tron. Toncoin was the biggest loser. Global cryptocurrency markets we… [+304 chars]"
20,"{'id': None, 'name': 'CryptoGlobe'}",CryptoGlobe Writer,Crypto Analyst Benjamin Cowen Predicts a Grim Future for Many Altcoins: What to Expect in 2024,"Prominent cryptocurrency analyst Benjamin Cowen has issued a cautionary note, suggesting that numerous altcoins are headed for another downturn within this year, with little hope for recovery. In a recent video update, Cowen shared these insights with his 787…",https://www.cryptoglobe.com/latest/2023/09/crypto-analyst-benjamin-cowen-predicts-a-grim-future-for-many-altcoins-what-to-expect-in-2024/,https://media.cryptoglobe.com/2023/05/cryptocurrencies-1-768x768.png,2023-09-25T10:31:25Z,"Prominent cryptocurrency analyst Benjamin Cowen has issued a cautionary note, suggesting that numerous altcoins are headed for another downturn within this year, with little hope for recovery. In a r… [+3055 chars]"
21,"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,Bitcoin Moves Toward Mainstream Legitimacy Following Shanghai Court Ruling,"Tron’s founder, Justin Sun, has pointed out a recent article by the Shanghai Second Intermediate People’s Court, which seems to legitimize the flagship digital currency, Bitcoin, despite China’s anti-crypto stance.  What The Chinese Court Has To Say In a twee…",http://bitcoinist.com/bitcoin-mainstream-legitimacy/,https://bitcoinist.com/wp-content/uploads/2023/09/michael-fortsch-8TEpTK7363I-unsplash-980x630.jpg,2023-09-25T10:30:36Z,"Trons founder, Justin Sun, has pointed out a recent article by the Shanghai Second Intermediate People’s Court, which seems to legitimize the flagship digital currency, Bitcoin, despite Chinas anti-c… [+3470 chars]"
22,"{'id': None, 'name': 'Forbes'}","William Baldwin, Senior Contributor, 
 William Baldwin, Senior Contributor
 https://www.forbes.com/sites/baldwin/",12 Ways To Beat Inflation With Your Portfolio,"The Fed may quickly subdue inflation, or it may fail. Here are some devices to protect your retirement savings in case of failure.",https://www.forbes.com/sites/baldwin/2023/09/25/12-ways-to-beat-inflation-with-your-portfolio/,https://imageio.forbes.com/specials-images/imageserve/650e471862c91b3733d75329/0x0.jpg?format=jpg&width=1200,2023-09-25T10:30:00Z,"The Fed may quickly subdue inflation, or it may fail. Here are some devices to protect your retirement savings in case of failure.
Inflation is here to stay for a while. At 3%, a moderately pessimis… [+11721 chars]"
23,"{'id': None, 'name': 'PRNewswire'}",,"Global Metaverse Strategic Market Analysis Report 2023-2030: ""Phygital"" is the New Era - Metaverse Job Openings on the Rise as Companies Begin to Warm Up to the Concept & Its Promised Potential","DUBLIN, Sept. 25, 2023 /PRNewswire/ -- The ""Metaverse - Global Strategic Business Report"" report has been added to ResearchAndMarkets.com's offering. Global Metaverse Market to Reach $980.5 Billion by 2030 The global metaverse market is experiencing remarkabl…",https://www.prnewswire.com/news-releases/global-metaverse-strategic-market-analysis-report-2023-2030-phygital-is-the-new-era---metaverse-job-openings-on-the-rise-as-companies-begin-to-warm-up-to-the-concept--its-promised-potential-301937293.html,https://mma.prnewswire.com/media/539438/Research_and_Markets_Logo.jpg?p=facebook,2023-09-25T10:30:00Z,"DUBLIN, Sept. 25, 2023 /PRNewswire/ -- The ""Metaverse - Global Strategic Business Report"" report has been added to  ResearchAndMarkets.com's offering.
Global Metaverse Market to Reach $980.5 Billion… [+12236 chars]"
24,"{'id': None, 'name': 'Forkast.news'}",Pradipta Mukherjee,"Bitcoin, Ether fall with Toncoin leading losses in top 10 cryptos","Bitcoin fell below US$26,500 while Ether dipped below US$1,600 in the past 24 hours.",https://forkast.news/bitcoin-ether-fall-toncoin-leads-losses/,https://forkast.news/wp-content/uploads/2023/09/bitcoin-9-1260x946.jpg,2023-09-25T10:27:11Z,"Bitcoin continued to fall in Monday afternoon trade in Asia, along with Ether and all other top 10 non-stablecoin cryptos, except Tron. Toncoin was the biggest loser. Global cryptocurrency markets we… [+2104 chars]"
25,"{'id': None, 'name': 'Biztoc.com'}",barrons.com,Bitcoin Falls With Key Level at Risk. Macro Catalysts Are Looming for Cryptos,"Bitcoin and other cryptocurrencies dropped Monday, nearing key price levels, amid a wider slump in risk-sensitive assets as a number of macroeconomic catalysts loom for cryptos in the coming days. The price of Bitcoin has fallen 2% over the past 24 hours to b…",https://biztoc.com/x/42b46d3081e7907e,https://c.biztoc.com/p/42b46d3081e7907e/s.webp,2023-09-25T10:26:13Z,"Bitcoin and other cryptocurrencies dropped Monday, nearing key price levels, amid a wider slump in risk-sensitive assets as a number of macroeconomic catalysts loom for cryptos in the coming days.The… [+214 chars]"
26,"{'id': None, 'name': 'Biztoc.com'}",barrons.com,Bitcoin Falls With Key Level at Risk,"In the absence of crypto-native catalysts, traders are likely to focus on the same macroeconomic data releases this week that will move the stock market.",https://biztoc.com/x/6b455b7a01b30c56,https://c.biztoc.com/p/6b455b7a01b30c56/s.webp,2023-09-25T10:26:12Z,"In the absence of crypto-native catalysts, traders are likely to focus on the same macroeconomic data releases this week that will move the stock market.
This story appeared on barrons.com, ."
27,"{'id': None, 'name': 'Marketscreener.com'}",Publicnow,Banque Bemo L : Daily Markets Brief,"(marketscreener.com) 
 
 
 Daily Market Brief
 
 
 September 25th 2023
 
 
 
 
 
 FOREIGN EXCHANGE MARKETS
 
 
 
 
 
 
 
 
 
 
 
 
 
 ...https://www.marketscreener.com/quote/stock/BANQUE-BEMO-S-A-L-20703347/news/Banque-Bemo-L-Daily-Markets-Brief-44913785/?utm…",https://www.marketscreener.com/quote/stock/BANQUE-BEMO-S-A-L-20703347/news/Banque-Bemo-L-Daily-Markets-Brief-44913785/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2023-09-25T10:21:03Z,"EURUSD
The EUR/USD pair snaps its four-day losing streak during the early Asian session on Monday. Market participants will digest the outcome of the Federal Reserve (Fed) meeting last week and awai… [+9095 chars]"
28,"{'id': None, 'name': ""Barron's""}",Jack Denton,Bitcoin Drops Back With Key Level at Risk,"In the absence of crypto-native catalysts, traders are likely to focus on the same macroeconomic data releases this week that will move the stock market.",https://www.barrons.com/articles/bitcoin-crypto-markets-today-47f44d33,https://images.barrons.com/im-844022/social,2023-09-25T10:20:46Z,"Bitcoin
 and other cryptocurrencies dropped Monday, nearing key price levels, amid a wider slump in risk-sensitive assets as a number of macroeconomic catalysts loom for cryptos in the coming days.T… [+1992 chars]"
29,"{'id': None, 'name': 'Biztoc.com'}",cryptopotato.com,Bitcoin Spark: The New Face of Cryptocurrency Challenging Groestlcoin,"The cryptocurrency market has experienced growing interest, a massive adoption rate, and increased investments from retail blockchain enthusiasts, institutional investors, and venture capital firms. Cryptocurrencies have emerged to create an antithesis of the…",https://biztoc.com/x/b86cd89613f00703,https://c.biztoc.com/p/b86cd89613f00703/s.webp,2023-09-25T10:20:07Z,"The cryptocurrency market has experienced growing interest, a massive adoption rate, and increased investments from retail blockchain enthusiasts, institutional investors, and venture capital firms.C… [+306 chars]"
30,"{'id': None, 'name': 'Biztoc.com'}",decrypt.co,"Mixin Platform Suspends Deposits, Withdrawals After $200M Security Breach","Mixin Network was hit by an exploit on Sunday, resulting in a loss of up to $200 million, as reported in a tweet by the team earlier today. The project features a wallet for cross-chain asset transfers and a decentralized exchange to swap assets such as Bitco…",https://biztoc.com/x/62626d8d12064e9b,https://c.biztoc.com/p/62626d8d12064e9b/s.webp,2023-09-25T10:14:09Z,"Mixin Network was hit by an exploit on Sunday, resulting in a loss of up to $200 million, as reported in a tweet by the team earlier today.The project features a wallet for cross-chain asset transfer… [+302 chars]"
31,"{'id': None, 'name': 'Marketscreener.com'}",Publicnow,Canaan Inc. Introduces the A14 Series: Unleashing the Future of Cryptocurrency Mining,"(marketscreener.com) 
 Canaan Inc. Introduces the A14 Series: Unleashing the Future of Cryptocurrency Mining
 
 
 publish date 2023-09-25
 
 
 
 Canaan Inc. , a global pioneer in blockchain technology and cryptocurrency mining solutions, is proud to unveil it…",https://www.marketscreener.com/quote/stock/CANAAN-INC-76482411/news/Canaan-Inc-Introduces-the-A14-Series-Unleashing-the-Future-of-Cryptocurrency-Mining-44913728/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2023-09-25T10:13:02Z,"Canaan Inc. (NASDAQ: CAN), a global pioneer in blockchain technology and cryptocurrency mining solutions, is proud to unveil its latest innovation, the A14 series, a formidable lineup of mining hardw… [+2565 chars]"
32,"{'id': None, 'name': 'CoinDesk'}","Margaux Nijkerk, Sam Kessler",The State of Staking: 5 Takeaways a Year After Ethereum's Merge,"Ethereum’s switch to proof-of-stake fixed some problems, like environmental damage linked to PoW mining. But it raised new issues, including worries about centralization, MEV and censorship, say Margaux Nijkerk and Sam Kessler.",https://www.coindesk.com/consensus-magazine/2023/09/25/the-state-of-staking-5-takeaways-a-year-after-ethereums-merge/,https://www.coindesk.com/resizer/8mHAC7v1DXsGHYvhK-v0nOBwcJc=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/WCRIHMCLUBCF7NZJJVRPOGPXC4.jpg,2023-09-25T10:12:37Z,"Its been a little over a year since Ethereum, the largest smart-contract blockchain, switched out its old energy intensive proof-of-work (PoW) model, used by blockchains like Bitcoin, for proof-of-st… [+9491 chars]"
33,"{'id': None, 'name': 'Biztoc.com'}",ambcrypto.com,The rise of Bitcoin Spark: A new era in the cryptocurrency marketplace,Cryptocurrency is a term that has been on everyone’s lips for the past decade. This […],https://biztoc.com/x/511ef0b98f41d7c4,https://c.biztoc.com/p/511ef0b98f41d7c4/s.webp,2023-09-25T10:12:11Z,"Cryptocurrency is a term that has been on everyones lips for the past decade. This []
This story appeared on ambcrypto.com, ."
34,"{'id': None, 'name': 'Biztoc.com'}",cryptodaily.co.uk,Bitcoin approaches its moment of truth,With a monthly close less than a week away it’s make or break for Bitcoin. A bearish narrative A bearish narrative is playing across the world’s press and social media channels. The message from the U.S. Federal Reserve Chairman Jerome Powell in the recent FO…,https://biztoc.com/x/77f4a8d9bdf9aadb,https://c.biztoc.com/p/77f4a8d9bdf9aadb/s.webp,2023-09-25T10:06:27Z,With a monthly close less than a week away its make or break for Bitcoin. A bearish narrativeA bearish narrative is playing across the worlds press and social media channels. The message from the U.S… [+294 chars]
35,"{'id': None, 'name': 'Phable.io'}",Chloe Alexander,Krista Edmunds: Empowering Women in Bitcoin - Founder Spotlight — Branding And Content Marketing For Technology,"Discover the inspiring journey of Krista Edmunds, a seasoned professional with a passion for Bitcoin and a commitment to empowering women in technology. Learn about her role as the founder of Access Tribe Limited and her mission to bridge the gender gap in th…",https://www.phable.io/blog/qa0t8qh4jki388vnuwm6sk9jcb3x3k,http://static1.squarespace.com/static/60cb1bed3b0cf9305037362d/t/65115213f6537a05c7c4791c/1695633956122/Screenshot+2023-09-25+at+10.24.12.png?format=1500w,2023-09-25T10:05:03Z,"Early Career and Expertise
Krista embarked on her finance career than twenty years ago and quickly climbed the ladder of success. Notably she held positions at Barclays Bank, including Head of US Bu… [+5974 chars]"
36,"{'id': None, 'name': 'Cryptopolitan'}",Lacton Muriuki,North Korean Lazarus Group’s crypto holdings decline to $47M- Reports,"Recent data reveals a substantial decrease in Lazarus Group’s cryptocurrency holdings, shedding light on their involvement in cyberattacks. The notorious North Korean hacking collective, Lazarus Group, is reportedly holding approximately $47 million in crypto…",https://www.cryptopolitan.com/lazarus-group-crypto-holdings-decline-to-47m/,https://www.cryptopolitan.com/wp-content/uploads/2023/09/JasperArt_2023-09-25_12.41.49_upscaled.jpg,2023-09-25T10:04:34Z,"<ul><li>Recent data reveals a substantial decrease in Lazarus Group’s cryptocurrency holdings.</li><li>The group’s digital asset portfolio includes $42.5 million in Bitcoin, $1.9 million in Ether, $1… [+2799 chars]"
37,"{'id': None, 'name': 'Ambcrypto.com'}",Jacob Thomas,The rise of Bitcoin Spark: A new era in the cryptocurrency marketplace,Cryptocurrency is a term that has been on everyone’s lips for the past decade. This […],https://ambcrypto.com/the-rise-of-bitcoin-spark-a-new-era-in-the-cryptocurrency-marketplace/,https://statics.ambcrypto.com/wp-content/uploads/2023/09/BT-spark-1000x600.jpg,2023-09-25T10:00:54Z,"Cryptocurrency is a term that has been on everyone’s lips for the past decade. This digital currency uses cryptography for security, making it nearly impossible to counterfeit. Cryptocurrency is dece… [+6144 chars]"
38,"{'id': None, 'name': 'Cryptopolitan'}",Lacton Muriuki,Mixin Network suffers $200M hack,"Mixin Network, a decentralized peer-to-peer network, has fallen victim to a major security breach, resulting in the loss of approximately $200 million worth of cryptocurrency assets. The incident unfolded on September 23, 2023, prompting an immediate suspensi…",https://www.cryptopolitan.com/mixin-network-suffers-200m-hack/,https://www.cryptopolitan.com/wp-content/uploads/2023/09/JasperArt_2023-09-25_12.55.33_upscaled.jpg,2023-09-25T10:00:11Z,"<ul><li>Mixin Network has fallen victim to a major security breach, resulting in the loss of approximately $200M.</li><li>Mixin Network has temporarily suspended all deposit and withdrawal services t… [+3010 chars]"
39,"{'id': None, 'name': 'Biztoc.com'}",coindesk.com,Crypto Traders Brace for Nearly $5B Bitcoin and Ether Options Expiry,"Roughly 10% or 117,000 contracts out of the total are tied to bitcoin, while the rest are ether options. On Deribit, one options contract represents one BTC and one ETH. Options are derivatives that give the purchaser the right to buy or sell the underlying a…",https://biztoc.com/x/5a64827a4f7f4b75,https://c.biztoc.com/p/5a64827a4f7f4b75/s.webp,2023-09-25T10:00:06Z,"Roughly 10% or 117,000 contracts out of the total are tied to bitcoin, while the rest are ether options. On Deribit, one options contract represents one BTC and one ETH. Options are derivatives that … [+267 chars]"
40,"{'id': None, 'name': 'The New Yorker'}",Sheelah Kolhatkar,Inside Sam Bankman-Fried’s Family Bubble,"The young crypto billionaire was raised by law-school professors who specialized in ethics and fairness. Now that he stands accused of a historic act of fraud, all three of them are scrambling for legal escape routes, Sheelah Kolhatkar writes.",https://www.newyorker.com/magazine/2023/10/02/inside-sam-bankman-frieds-family-bubble,"https://media.newyorker.com/photos/650c8f60460686e02830654b/16:9/w_1280,c_limit/231002_r43094.jpg",2023-09-25T10:00:00Z,"Bankman is, in addition to his other work, a part-time therapist. Especially interested in anxiety, he has written on the intersection of law and psychology and co-hosted, with Stanford students, a p… [+12625 chars]"
41,"{'id': None, 'name': 'The New Yorker'}",Françoise Mouly,Barry Blitt’s “The Race for Office”,"Françoise Mouly interviews the artist Barry Blitt about his cover illustration for the October 2, 2023, issue of The New Yorker.",https://www.newyorker.com/culture/cover-story/cover-story-2023-10-02,"https://media.newyorker.com/photos/650ddfd4c48d9b127294d809/16:9/w_1280,c_limit/cover-story-promo-blitt_biden.jpg",2023-09-25T10:00:00Z,"Is the U.S.long thought to be the land of new beginningsin danger of becoming a sclerotic gerontocracy? In a declining society, the images of an aging leadership can come to embody a general sense of… [+4590 chars]"
